,token,name,symbol
9237,506128,PARNAXLAB,PARNAXLAB
9238,506178,VELOX,VELOX
9239,506525,KANORICHEM,KANORICHEM
9240,506532,NITTAGELA,NITTAGELA
9241,518011,KEERTHI,KEERTHI
9242,519126,HNDFDS,HNDFDS
9243,519463,IBINFO,IBINFO
9244,519528,NORBTEAEXP,NORBTEAEXP
9245,507438,IFBAGRO,IFBAGRO
9246,506590,PCBL,PCBL
9247,506690,UNICHEMLAB,UNICHEMLAB
9248,506981,BLUECHIPT,BLUECHIPT
9249,519574,HINDUST,HINDUST
9250,521014,EUROTEXIND,EUROTEXIND
9251,521048,ADVLIFE,ADVLIFE
9252,521062,OCTAVE,OCTAVE
9253,507474,KFBL,KFBL
9254,507488,GMBREW,GMBREW
9255,507759,LIMECHM,LIMECHM
9256,507944,BAJAJST,BAJAJST
9257,521141,ADITYASP,ADITYASP
9258,521151,DHANFAB,DHANFAB
9259,521216,DHANROTO,DHANROTO
9260,521228,TATIAGLOB,TATIAGLOB
9261,508494,WARRENTEA,WARRENTEA
9262,508664,BESTEAST,BESTEAST
9263,508906,EVERESTIND,EVERESTIND
9264,508963,TRUSTWAVE,TRUSTWAVE
9265,521234,SRINACHA,SRINACHA
9266,522215,HLEGLAS,HLEGLAS
9267,522014,UNIDT,UNIDT
9268,522036,MIVENMACH,MIVENMACH
9269,509009,AUSOMENT,AUSOMENT
9270,509038,VOLLF,VOLLF
9271,509046,TRILIANCE,TRILIANCE
9272,509438,BENARAS,BENARAS
9273,522229,TANAA,TANAA
9274,522237,SHIVAGR,SHIVAGR
9275,522245,IYKOTHITE,IYKOTHITE
9276,522249,MAYURUNIQ,MAYURUNIQ
9277,509470,BOMOXY-B1,BOMOXY-B1
9278,509760,MODRNSH,MODRNSH
9279,509870,SHAHCON,SHAHCON
9280,509966,VSTIND,VSTIND
9281,522294,TIGLOB,TIGLOB
9282,522650,BEMHY,BEMHY
9283,523007,ANSALBU,ANSALBU
9284,523127,EIHAHOTELS,EIHAHOTELS
9285,511060,JUMBFNL,JUMBFNL
9286,511110,VBDESAI,VBDESAI
9287,511116,QUADRANT,QUADRANT
9288,511359,ADMANUM,ADMANUM
9289,523207,KOKUYOCMLN,KOKUYOCMLN
9290,523391,NAHARPOLY,NAHARPOLY
9291,523411,ADCINDIA,ADCINDIA
9292,523475,LOTUSCHO,LOTUSCHO
9293,511523,VEERHEALTH,VEERHEALTH
9294,511539,SUPRATRE,SUPRATRE
9295,511577,SAVFI,SAVFI
9296,511636,DJSSS,DJSSS
9297,523489,CMMHOSP,CMMHOSP
9298,523519,UNIOFFICE,UNIOFFICE
9299,523574,FEL,FEL
9300,523840,INNOVTEC,INNOVTEC
9301,511700,STANCAP,STANCAP
9302,511728,KZLFIN,KZLFIN
9303,511768,MASTERTR,MASTERTR
9304,512014,SOBME,SOBME
9305,524200,VINATIORGA,VINATIORGA
9306,523842,SUPTANERY,SUPTANERY
9307,523888,VRWODAR,VRWODAR
9308,524091,CARYSIL,CARYSIL
9309,512091,NIBEORD,NIBEORD
9310,512101,TRIPR,TRIPR
9311,512115,ROSEMER,ROSEMER
9312,512117,TWIROST,TWIROST
9313,524212,WANBURY,WANBURY
9314,524502,RAAJMEDI,RAAJMEDI
9315,524204,TEEAI,TEEAI
9316,524444,EVEXIA,EVEXIA
9317,512197,SILVERO,SILVERO
9318,512221,SPVGLOBAL,SPVGLOBAL
9319,512345,YASTF,YASTF
9320,512367,ZSHERAPR,ZSHERAPR
9321,524518,KREBSBIO,KREBSBIO
9322,524522,LAFFANSQ,LAFFANSQ
9323,524663,BIBCL,BIBCL
9324,524804,AUROPHARMA,AUROPHARMA
9325,512379,CRSL,CRSL
9326,512461,PUNCTRD,PUNCTRD
9327,512527,SUPER,SUPER
9328,512624,REGENTRP,REGENTRP
9329,524820,PANAMAPET,PANAMAPET
9330,526113,UNRYLMA,UNRYLMA
9331,526117,SHERVANI,SHERVANI
9332,526173,ANDREWYU,ANDREWYU
9333,512634,SAVERA,SAVERA
9334,513043,REMIEDEL,REMIEDEL
9335,513262,SSWL,SSWL
9336,513269,MANINDS,MANINDS
9337,526335,SHREYASI,SHREYASI
9338,526355,DUROPACK,DUROPACK
9339,526371,NMDC,NMDC
9340,526373,CINDHO,CINDHO
9341,513295,IMEC,IMEC
9342,513337,GUJTLRM,GUJTLRM
9343,513456,KANSHST,KANSHST
9344,513548,SHRDAIS,SHRDAIS
9345,526381,PATINTLOG,PATINTLOG
9346,526439,AMBIT,AMBIT
9347,526445,INDRANIB,INDRANIB
9348,526494,PROMACT,PROMACT
9349,513713,WHITEORG,WHITEORG
9350,514010,RUDRAECO,RUDRAECO
9351,514302,VIPPYSP,VIPPYSP
9352,514326,PATSPINLTD,PATSPINLTD
9353,526608,ELECTHERM,ELECTHERM
9354,526616,NATPLAS,NATPLAS
9355,526687,POLOHOT,POLOHOT
9356,526705,ELEMARB,ELEMARB
9357,514332,NEOINFRA,NEOINFRA
9358,514348,WINSOME,WINSOME
9359,514414,OXFORDIN,OXFORDIN
9360,516108,STHINPA,STHINPA
9361,517246,BCCFUBA,BCCFUBA
9362,517271,HBLENGINE,HBLENGINE
9363,517431,NARMP,NARMP
9364,517437,DUTRON,DUTRON
9365,526731,BRIGHTBR,BRIGHTBR
9366,526795,MHSGRMS,MHSGRMS
9367,526885,SARLAPOLY,SARLAPOLY
9368,526901,SONALAD,SONALAD
9369,517477,ELNET,ELNET
9370,517546,ALFATRAN,ALFATRAN
9371,518053,SRICC,SRICC
9372,519136,NAHARINDUS,NAHARINDUS
9373,526931,HRYNSHP,HRYNSHP
9374,526941,VAICC,VAICC
9375,526947,LAOPALA,LAOPALA
9376,526971,DHOOTIN,DHOOTIN
9377,519287,MODAIRY,MODAIRY
9378,519299,PRIMIND,PRIMIND
9379,519471,AMBARPIL,AMBARPIL
9380,519500,BKV,BKV
9381,526981,SHBAJRG,SHBAJRG
9382,530007,JKTYRE,JKTYRE
9383,530037,SPARKLEGR,SPARKLEGR
9384,530063,YASHRAJC,YASHRAJC
9385,520043,MUNJALSHOW,MUNJALSHOW
9386,520059,MUNJALAU,MUNJALAU
9387,520123,ABCINDQ,ABCINDQ
9388,521070,ALOKINDS,ALOKINDS
9389,530185,SURATRAML,SURATRAML
9390,530239,SUVEN,SUVEN
9391,530251,RISAINTL,RISAINTL
9392,530343,GENUSPOWER,GENUSPOWER
9393,521113,SUDTIND-B,SUDTIND-B
9394,521232,SUNILTX,SUNILTX
9395,521248,KITEX,KITEX
9396,522285,JAYNECOIND,JAYNECOIND
9397,530365,ORIENTBELL,ORIENTBELL
9398,530367,NRBBEARING,NRBBEARING
9399,530517,RELAXO,RELAXO
9400,530555,PARACABLES,PARACABLES
9401,522287,KPIL,KPIL
9402,523100,COSMOFE,COSMOFE
9403,523242,NBFOOT,NBFOOT
9404,523315,PURITY,PURITY
9405,530557,NCLRESE,NCLRESE
9406,530565,POPEES,POPEES
9407,530615,GARGFUR,GARGFUR
9408,530617,SAMPRE,SAMPRE
9409,523343,MICROSE,MICROSE
9410,523371,MAWANASUG,MAWANASUG
9411,523384,MAHAPEXLTD,MAHAPEXLTD
9412,523594,KUNSTOFF,KUNSTOFF
9413,530677,SUPREME,SUPREME
9414,530689,LYKISLTD,LYKISLTD
9415,530789,CEEJAY,CEEJAY
9416,530799,ANNAINFRA,ANNAINFRA
9417,523598,SCI,SCI
9418,523642,PIIND,PIIND
9419,523782,MITSHI,MITSHI
9420,523796,VHLTD,VHLTD
9421,530855,GDLLEAS,GDLLEAS
9422,530907,SICAPIT,SICAPIT
9423,530921,INTETHR,INTETHR
9424,530943,SABTNL,SABTNL
9425,523862,GRANDOAK,GRANDOAK
9426,524000,POONAWALLA,POONAWALLA
9427,524055,PANIDPR,PANIDPR
9428,524075,ALBERTDAVD,ALBERTDAVD
9429,530965,IOC,IOC
9430,530993,SARTHAKGL,SARTHAKGL
9431,531041,COMPEAU,COMPEAU
9432,531051,VINTAGES,VINTAGES
9433,524136,PCCOSMA,PCCOSMA
9434,524208,AARTIIND,AARTIIND
9435,524226,GAEL,GAEL
9436,524314,GUJTERC,GUJTERC
9437,531137,GEMSI,GEMSI
9438,531162,EMAMILTD,EMAMILTD
9439,531228,RANDER,RANDER
9440,531233,RASIELEC,RASIELEC
9441,524372,ORCHPHARMA,ORCHPHARMA
9442,524394,VIMTALABS,VIMTALABS
9443,524400,ISHITADR,ISHITADR
9444,524440,CAMEXLTD,CAMEXLTD
9445,531254,OPTIFIN,OPTIFIN
9446,531272,NIKKIGL,NIKKIGL
9447,531306,DHPIND,DHPIND
9448,531323,JAYIND,JAYIND
9449,524458,INDOEURO,INDOEURO
9450,524516,BACPHAR,BACPHAR
9451,524572,PHARMAID,PHARMAID
9452,524648,INDOAMIN,INDOAMIN
9453,531338,MILESTONE,MILESTONE
9454,531346,EASTRED,EASTRED
9455,531360,GOLECHA,GOLECHA
9456,531380,CSURGSU,CSURGSU
9457,524667,SOTL,SOTL
9458,524669,HESTERBIO,HESTERBIO
9459,524715,SUNPHARMA,SUNPHARMA
9460,524790,EVERESTO,EVERESTO
9461,531390,UPSURGE,UPSURGE
9462,531432,SYTIXSE,SYTIXSE
9463,531433,SUNGOLD,SUNGOLD
9464,531439,GOLDTECH,GOLDTECH
9465,526143,MPL,MPL
9466,526159,NIKHILAD,NIKHILAD
9467,526161,SPENTA,SPENTA
9468,526169,MULTIBASE,MULTIBASE
9469,531444,VARDHMAN,VARDHMAN
9470,531456,MINAXI,MINAXI
9471,531502,ESARIND,ESARIND
9472,531505,INDERGR,INDERGR
9473,526193,ROYALCU,ROYALCU
9474,526365,SWARNSAR,SWARNSAR
9475,526397,ALPHAGEO,ALPHAGEO
9476,526471,WINSOMBR,WINSOMBR
9477,531529,SOFTRAKV,SOFTRAKV
9478,531597,MIDPOLY,MIDPOLY
9479,531600,GOGIACAPGL,GOGIACAPGL
9480,531613,MAL,MAL
9481,526530,IIRM,IIRM
9482,526550,CCHHL,CCHHL
9483,526582,TPLPLASTEH,TPLPLASTEH
9484,526628,AJWAFUN,AJWAFUN
9485,531628,TEJASSVI,TEJASSVI
9486,531640,SICL,SICL
9487,531658,ABATEAS,ABATEAS
9488,531661,HITTCO,HITTCO
9489,526668,KAMATHOTEL,KAMATHOTEL
9490,526807,SEAMECLTD,SEAMECLTD
9491,526851,AREXMIS,AREXMIS
9492,526861,RISHILASE,RISHILASE
9493,531681,AMERISE,AMERISE
9494,531696,VSDCONF,VSDCONF
9495,531743,HIRAUTO,HIRAUTO
9496,531769,PFLINFOTC,PFLINFOTC
9497,526883,SHIKHAR,SHIKHAR
9498,526899,HFIL,HFIL
9499,526905,PADMAIND,PADMAIND
9500,526935,ARUNIS,ARUNIS
9501,531814,TIRSARJ,TIRSARJ
9502,531821,MUNOTHFI,MUNOTHFI
9503,531878,ANJANIFIN,ANJANIFIN
9504,531885,SVAINDIA,SVAINDIA
9505,526945,TYROON,TYROON
9506,530027,AADIIND,AADIIND
9507,530043,ACKNIT,ACKNIT
9508,530053,REALECO,REALECO
9509,531918,HINDAPL,HINDAPL
9510,531923,DHAMPURE,DHAMPURE
9511,531994,AUTOPINS,AUTOPINS
9512,532015,GRAVITY,GRAVITY
9513,530065,LORDSHOTL,LORDSHOTL
9514,530111,RAJPACK,RAJPACK
9515,530217,SWOJAS,SWOJAS
9516,530231,SUBSM,SUBSM
9517,532022,FILATFASH,FILATFASH
9518,532024,AARCON,AARCON
9519,532051,SWELECTES,SWELECTES
9520,532124,RELIABVEN,RELIABVEN
9521,530233,AUROLAB,AUROLAB
9522,530255,KAYPOWR,KAYPOWR
9523,530267,ARIGATO,ARIGATO
9524,530475,TINNARUBR,TINNARUBR
9525,532144,WELCORP,WELCORP
9526,532163,SAREGAMA,SAREGAMA
9527,532178,ENGINERSIN,ENGINERSIN
9528,532230,BENGALT,BENGALT
9529,530589,PRIMAPLA,PRIMAPLA
9530,530665,ZENITHHE,ZENITHHE
9531,530723,ASITCFIN,ASITCFIN
9532,530733,ENCODE,ENCODE
9533,532234,NATIONALUM,NATIONALUM
9534,532286,JINDALSTEL,JINDALSTEL
9535,532303,INTEGHIT,INTEGHIT
9536,532324,CINEVISTA,CINEVISTA
9537,530745,ACSTECH,ACSTECH
9538,530757,SHENTRA,SHENTRA
9539,530821,SSPDL,SSPDL
9540,530871,CHEMBOND,CHEMBOND
9541,532332,CURAA,CURAA
9542,532333,HBPOR,HBPOR
9543,532334,HBESD,HBESD
9544,532341,IZMO,IZMO
9545,530899,ASIAPAK,ASIAPAK
9546,530953,SUNILAGR,SUNILAGR
9547,530977,SKCIL,SKCIL
9548,531049,NEELKAN,NEELKAN
9549,532351,AKSHOPTFBR,AKSHOPTFBR
9550,532356,TRIVENI,TRIVENI
9551,532371,TTML,TTML
9552,532378,UNIVARTS,UNIVARTS
9553,531144,ELFORGE,ELFORGE
9554,531201,SHILCTECH,SHILCTECH
9555,531213,MANAPPURAM,MANAPPURAM
9556,531216,COMFINTE,COMFINTE
9557,532454,BHARTIARTL,BHARTIARTL
9558,532382,BALAJITELE,BALAJITELE
9559,532404,7TEC,7TEC
9560,532440,MPSLTD,MPSLTD
9561,531225,XTGLOBAL,XTGLOBAL
9562,531241,LINC,LINC
9563,531253,INDGELA,INDGELA
9564,531257,PRATIKSH,PRATIKSH
9565,532456,COMPINFO,COMPINFO
9566,532478,UBL,UBL
9567,532493,ASTRAMICRO,ASTRAMICRO
9568,532630,GOKEX,GOKEX
9569,531279,TRISHAKT,TRISHAKT
9570,531280,PANKAJPO,PANKAJPO
9571,531322,HAVISHA,HAVISHA
9572,531328,KRETTOSYS,KRETTOSYS
9573,532638,SHOPERSTOP,SHOPERSTOP
9574,532668,AURIONPRO,AURIONPRO
9575,532673,KMSUGAR,KMSUGAR
9576,532689,PVRINOX,PVRINOX
9577,531344,CONCOR,CONCOR
9578,531364,EKANSH,EKANSH
9579,531402,LWSKNIT,LWSKNIT
9580,531472,CYBELEIND,CYBELEIND
9581,532723,MPDL,MPDL
9582,532741,KAMDHENU,KAMDHENU
9583,532805,REDINGTON,REDINGTON
9584,532817,ORIENTALTL,ORIENTALTL
9585,531543,JINDWORLD,JINDWORLD
9586,531569,SANJIVIN,SANJIVIN
9587,531624,COUNCODOS,COUNCODOS
9588,531637,PRAVEG,PRAVEG
9589,532850,MICEL,MICEL
9590,532856,TIMETECHNO,TIMETECHNO
9591,532878,ALPA,ALPA
9592,532890,TAKE,TAKE
9593,531644,TOKYOFIN,TOKYOFIN
9594,531676,VAGHANI,VAGHANI
9595,531841,INDUSFINL,INDUSFINL
9596,531861,JOINDRE,JOINDRE
9597,532893,VTMLTD,VTMLTD
9598,532904,SUPREMEINF,SUPREMEINF
9599,532916,BVCL,BVCL
9600,532925,KAUSHALYA,KAUSHALYA
9601,531911,GALAGEX,GALAGEX
9602,531936,BLUECHIP,BLUECHIP
9603,532100,INDOCITY,INDOCITY
9604,532149,BANKINDIA,BANKINDIA
9605,532946,BANG,BANG
9606,533029,ALKALI,ALKALI
9607,533149,YUNIKM,YUNIKM
9608,533151,DBCORP,DBCORP
9609,532160,GUJSTATFIN,GUJSTATFIN
9610,532240,INDNIPPON,INDNIPPON
9611,532271,ORCHASP,ORCHASP
9612,532284,TCFCFINQ,TCFCFINQ
9613,533167,COROENGG,COROENGG
9614,533259,SASTASUNDR,SASTASUNDR
9615,533282,GRAVITA,GRAVITA
9616,533286,MOIL,MOIL
9617,532304,KJMCCORP,KJMCCORP
9618,532343,TVSMOTOR,TVSMOTOR
9619,532357,MUKTAARTS,MUKTAARTS
9620,532374,STLTECH,STLTECH
9621,533298,SURANASOL,SURANASOL
9622,533315,INOVSYNTH,INOVSYNTH
9623,533333,FCL,FCL
9624,533336,DHUNINV,DHUNINV
9625,532395,AXISCADES,AXISCADES
9626,532432,UNITDSPR,UNITDSPR
9627,532468,KAMAHOLD,KAMAHOLD
9628,532483,CANBK,CANBK
9629,533343,LOVABLE,LOVABLE
9630,533482,KRIDHANINF,KRIDHANINF
9631,534060,PMCFIN,PMCFIN
9632,534392,VSSL,VSSL
9633,532500,MARUTI,MARUTI
9634,532515,TVTODAY,TVTODAY
9635,532555,NTPC,NTPC
9636,532610,DWARKESH,DWARKESH
9637,534741,VIRTUALG,VIRTUALG
9638,535375,KTKFMP100GD,KTKFMP100GD
9639,535387,LAKHOTIA,LAKHOTIA
9640,535440,KTKFMP101D,KTKFMP101D
9641,532633,ALLDIGI,ALLDIGI
9642,532642,JSWHL,JSWHL
9643,532667,SUZLON,SUZLON
9644,532694,ASMS,ASMS
9645,535689,RXXIII12DG,RXXIII12DG
9646,535996,RFXXIV04DG,RFXXIV04DG
9647,535998,RFHXXIV04G,RFHXXIV04G
9648,536960,MOM100,MOM100
9649,532700,ENIL,ENIL
9650,532712,RCOM,RCOM
9651,532740,LOKESHMACH,LOKESHMACH
9652,532762,ACE,ACE
9653,537259,SUYOG,SUYOG
9654,537560,NFXXV20DD,NFXXV20DD
9655,537582,UNISHIRE,UNISHIRE
9656,538562,SKIPPER,SKIPPER
9657,532771,JHS,JHS
9658,532776,SHIVAMAUTO,SHIVAMAUTO
9659,532779,TORNTPOWER,TORNTPOWER
9660,532785,RUCHIRA,RUCHIRA
9661,538563,SMTEL,SMTEL
9662,538591,NCAPBULADD,NCAPBULADD
9663,538635,SNOWMAN,SNOWMAN
9664,538646,QGO,QGO
9665,532790,TANLA,TANLA
9666,532822,IDEA,IDEA
9667,532875,ADSL,ADSL
9668,532885,CENTRALBK,CENTRALBK
9669,538715,DHABRIYA,DHABRIYA
9670,538868,CSL,CSL
9671,538881,GALADAFIN,GALADAFIN
9672,538896,KANCHI,KANCHI
9673,532891,PURVA,PURVA
9674,532906,MAANALU,MAANALU
9675,532930,BGRENERGY,BGRENERGY
9676,532939,RPOWER,RPOWER
9677,538942,MERCANTILE,MERCANTILE
9678,538964,MERCURYLAB,MERCURYLAB
9679,538987,TALBROSENG,TALBROSENG
9680,539005,JAYATMA,JAYATMA
9681,532941,CORDSCABLE,CORDSCABLE
9682,532957,GOKAKTEX,GOKAKTEX
9683,532983,RPGLIFE,RPGLIFE
9684,532986,NIRAJ,NIRAJ
9685,539126,MEP,MEP
9686,539132,WARDWIZFBL,WARDWIZFBL
